__metadata,ID,ROW_ID,COMPANY_CODE,SALES_ORGANIZATION,SIM_ROUND,SIM_PERIOD,MATERIAL_DESCRIPTION,DISTRIBUTION_CHANNEL,AREA,QUANTITY,UNIT,AVERAGE_PRICE,NET_VALUE,CURRENCY
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~32')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~32')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~32,32,JJ,Market,01,3,1kg Nut Muesli,12,North,17199,ST,7.00,111066.60,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~33')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~33')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~33,33,JJ,Market,01,3,1kg Nut Muesli,12,South,12098,ST,5.34,60697.36,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~34')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~34')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~34,34,JJ,Market,01,3,1kg Nut Muesli,12,West,4589,ST,7.53,32556.12,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~35')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~35')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~35,35,JJ,Market,01,3,1kg Raisin Muesli,12,South,2557,ST,9.00,23013.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~36')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~36')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~36,36,JJ,Market,01,3,1kg Strawberry Muesli,12,North,3924,ST,7.75,29721.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~37')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~37')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~37,37,JJ,Market,01,3,1kg Strawberry Muesli,12,South,9514,ST,5.27,50138.78,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~38')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~38')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~38,38,JJ,Market,01,3,1kg Strawberry Muesli,12,West,4247,ST,6.51,26771.90,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~39')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~39')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~39,39,JJ,Market,01,3,500g Blueberry Muesli,12,North,2181,ST,7.00,15267.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~40')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~40')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~40,40,JJ,Market,01,3,500g Blueberry Muesli,12,South,4627,ST,4.53,20960.31,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~41')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~41')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~41,41,JJ,Market,01,3,500g Blueberry Muesli,12,West,5071,ST,4.53,22971.63,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~42')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~42')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~42,42,JJ,Market,01,3,500g Mixed Fruit Muesli,12,South,1588,ST,7.00,11116.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~43')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~43')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~43,43,JJ,Market,01,3,500g Mixed Fruit Muesli,12,West,1333,ST,7.00,9331.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~44')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~44')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~44,44,JJ,Market,01,3,500g Nut Muesli,12,North,8657,ST,3.90,33762.30,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~45')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~45')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~45,45,JJ,Market,01,3,500g Nut Muesli,12,South,2000,ST,3.90,7800.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~46')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~46')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~46,46,JJ,Market,01,3,500g Nut Muesli,12,West,2589,ST,3.90,10097.10,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~47')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~47')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~47,47,JJ,Market,01,3,500g Raisin Muesli,12,North,5334,ST,3.79,20215.86,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~48')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~48')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~48,48,JJ,Market,01,3,500g Raisin Muesli,12,South,6903,ST,4.86,31202.07,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~49')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~49')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~49,49,JJ,Market,01,3,500g Raisin Muesli,12,West,5333,ST,3.79,20212.07,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~50')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~50')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~50,50,JJ,Market,01,3,500g Strawberry Muesli,12,North,20500,ST,4.54,92773.80,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~51')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~51')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~51,51,JJ,Market,01,3,500g Strawberry Muesli,12,South,17844,ST,4.63,82617.72,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~52')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~52')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~52,52,JJ,Market,01,3,500g Strawberry Muesli,12,West,27039,ST,4.53,122402.17,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~53')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~53')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~53,53,JJ,Market,01,3,500g Blueberry Muesli,14,North,12000,ST,4.23,50760.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~54')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~54')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~54,54,JJ,Market,01,3,500g Blueberry Muesli,14,South,12041,ST,4.57,51047.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~55')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~55')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~55,55,JJ,Market,01,3,500g Blueberry Muesli,14,West,7097,ST,4.69,30131.11,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~56')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~56')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~56,56,JJ,Market,01,3,500g Mixed Fruit Muesli,14,North,6141,ST,7.00,42987.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~57')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~57')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~57,57,JJ,Market,01,3,500g Mixed Fruit Muesli,14,South,4432,ST,7.00,31024.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~58')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~58')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~58,58,JJ,Market,01,3,500g Mixed Fruit Muesli,14,West,2225,ST,7.00,15575.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~59')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~59')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~59,59,JJ,Market,01,3,500g Nut Muesli,14,North,4524,ST,3.90,17643.60,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~60')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~60')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~60,60,JJ,Market,01,3,500g Nut Muesli,14,West,12230,ST,3.90,47697.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~61')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~61')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~61,61,JJ,Market,01,3,500g Original Muesli,14,South,8778,ST,3.77,33093.06,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~62')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~62')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~62,62,JJ,Market,01,3,500g Original Muesli,14,West,2221,ST,3.77,8373.17,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~63')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~63')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~63,63,JJ,Market,01,3,500g Raisin Muesli,14,South,4607,ST,7.00,32249.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~64')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~64')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~64,64,JJ,Market,01,3,500g Raisin Muesli,14,West,6267,ST,7.00,43869.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~65')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~65')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~65,65,JJ,Market,01,3,500g Strawberry Muesli,14,North,1884,ST,5.61,8706.14,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~66')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~66')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~66,66,JJ,Market,01,3,500g Strawberry Muesli,14,South,208,ST,4.23,879.84,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~67')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~67')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~67,67,JJ,Market,01,4,1kg Blueberry Muesli,10,South,708,ST,10.00,7080.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~68')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~68')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~68,68,JJ,Market,01,4,1kg Mixed Fruit Muesli,10,South,6124,ST,5.06,30987.44,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~69')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~69')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~69,69,JJ,Market,01,4,1kg Original Muesli,10,North,2500,ST,4.35,10875.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~70')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~70')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~70,70,JJ,Market,01,4,1kg Original Muesli,10,South,11000,ST,4.35,47850.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~71')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~71')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~71,71,JJ,Market,01,4,1kg Raisin Muesli,10,North,2117,ST,10.00,21170.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~72')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~72')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~72,72,JJ,Market,01,4,1kg Raisin Muesli,10,South,7368,ST,4.38,32271.84,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~73')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~73')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~73,73,JJ,Market,01,4,1kg Raisin Muesli,10,West,2262,ST,10.00,22620.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~74')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~74')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~74,74,JJ,Market,01,4,1kg Strawberry Muesli,10,West,999,ST,10.00,9990.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~75')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~75')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~75,75,JJ,Market,01,4,1kg Blueberry Muesli,12,North,3280,ST,9.00,29520.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~76')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~76')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~76,76,JJ,Market,01,4,1kg Blueberry Muesli,12,South,2524,ST,9.00,22716.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~77')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~77')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~77,77,JJ,Market,01,4,1kg Blueberry Muesli,12,West,1995,ST,9.00,17955.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~78')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~78')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~78,78,JJ,Market,01,4,1kg Mixed Fruit Muesli,12,South,9876,ST,5.06,49972.56,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~79')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~79')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~79,79,JJ,Market,01,4,1kg Nut Muesli,12,South,3314,ST,9.00,29826.00,EUR
"{'id': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~80')"", 'uri': ""http://e05.bi.ucc.cit.tum.de/odata/935/Market('.1~80')"", 'type': 'ZCDS_ODATA_SIMULATION_SRV.Market'}",.1~80,80,JJ,Market,01,4,1kg Original Muesli,12,West,2500,ST,4.35,10875.00,EUR
